"","TTE","PATCH"
"1",68,"C"
"2",435,"C"
"3",140,"C"
"4",91,"C"
"5",362,"C"
"6",65,"C"
"7",106,"C"
"8",212,"B"
"9",242,"C"
"10",306,"C"
"11",254,"C"
"12",62,"C"
"13",343,"C"
"14",159,"C"
"15",45,"C"
"16",32,"C"
"17",275,"C"
"18",123,"C"
"19",144,"C"
"20",44,"C"
"21",166,"C"
"22",140,"C"
"23",324,"C"
"24",62,"C"
"25",286,"C"
"26",143,"C"
"27",144,"C"
"28",364,"B"
"29",101,"C"
"30",148,"C"
"31",105,"C"
"32",385,"C"
"33",210,"C"
"34",133,"C"
"35",453,"C"
"36",429,"C"
"37",204,"C"
"38",134,"B"
"39",147,"C"
"40",443,"C"
"41",250,"C"
"42",453,"B"
"43",228,"C"
"44",471,"C"
"45",392,"B"
"46",193,"C"
"47",370,"C"
"48",159,"C"
"49",51,"C"
"50",229,"C"
"51",80,"C"
"52",222,"C"
"53",178,"C"
"54",37,"C"
"55",491,"C"
"56",403,"C"
"57",470,"B"
"58",164,"C"
"59",405,"C"
"60",52,"C"
"61",190,"C"
"62",478,"C"
"63",237,"C"
"64",291,"C"
"65",201,"C"
"66",180,"C"
"67",257,"C"
"68",344,"C"
"69",369,"C"
"70",64,"C"
"71",189,"C"
"72",247,"B"
"73",189,"B"
"74",103,"C"
"75",49,"C"
"76",190,"C"
"77",415,"C"
"78",71,"C"
"79",248,"C"
"80",305,"C"
"81",275,"C"
"82",425,"C"
"83",315,"C"
"84",459,"C"
"85",35,"B"
"86",414,"C"
"87",110,"C"
"88",311,"C"
"89",260,"C"
"90",65,"C"
"91",329,"C"
"92",39,"C"
"93",23,"C"
"94",212,"C"
"95",292,"C"
"96",36,"C"
"97",103,"B"
"98",155,"C"
"99",253,"C"
"100",211,"C"
"101",333,"C"
"102",191,"C"
"103",117,"C"
"104",141,"B"
"105",149,"C"
"106",64,"C"
"107",263,"C"
"108",229,"C"
"109",403,"C"
"110",129,"B"
"111",426,"C"
"112",78,"C"
"113",276,"C"
"114",283,"B"
"115",151,"C"
"116",435,"C"
"117",262,"B"
"118",295,"C"
"119",257,"C"
"120",100,"C"
"121",206,"C"
"122",465,"B"
"123",86,"C"
"124",187,"C"
"125",26,"C"
"126",474,"C"
"127",163,"C"
"128",125,"C"
"129",298,"C"
"130",226,"C"
"131",300,"C"
"132",144,"C"
"133",48,"C"
