"","time_quasi_extinct"
"1",170
"2",18
"3",489
"4",96
"5",135
"6",257
"7",307
"8",293
"9",213
"10",412
"11",344
"12",349
"13",6
"14",436
"15",37
"16",193
"17",178
"18",16
"19",12
"20",209
"21",196
"22",106
"23",277
"24",205
"25",331
"26",317
"27",158
"28",212
"29",310
"30",456
"31",96
"32",207
"33",358
"34",43
"35",215
"36",359
"37",259
"38",377
"39",433
"40",427
"41",226
"42",28
"43",468
"44",249
"45",68
"46",169
"47",463
"48",429
"49",465
"50",34
"51",120
"52",243
"53",237
"54",405
"55",445
"56",307
"57",165
"58",492
"59",251
"60",320
"61",324
"62",54
"63",197
"64",283
"65",458
"66",328
"67",233
"68",139
"69",383
"70",21
"71",263
"72",416
"73",247
"74",250
"75",218
"76",41
"77",121
"78",297
"79",86
"80",397
"81",66
"82",397
"83",483
"84",245
"85",202
"86",49
"87",416
"88",477
"89",158
"90",466
"91",62
"92",423
"93",37
"94",459
"95",333
"96",377
"97",333
"98",169
"99",8
"100",49
"101",47
"102",328
"103",160
"104",112
"105",374
"106",129
"107",446
"108",474
"109",98
"110",235
"111",75
"112",80
"113",379
"114",11
"115",67
"116",346
"117",238
"118",162
"119",263
"120",149
"121",61
"122",339
"123",473
"124",92
"125",318
"126",190
"127",136
"128",117
"129",71
"130",421
"131",44
"132",192
"133",131
"134",381
"135",441
"136",487
"137",256
"138",239
"139",88
"140",354
"141",150
"142",489
"143",99
"144",496
"145",260
"146",324
"147",18
"148",315
"149",167
"150",343
"151",391
"152",476
"153",234
"154",479
"155",48
"156",35
"157",40
"158",353
"159",77
"160",434
"161",335
"162",449
"163",497
"164",47
"165",244
"166",167
"167",216
"168",323
"169",430
"170",482
"171",343
"172",360
"173",56
"174",113
"175",272
"176",69
"177",99
"178",406
"179",312
"180",457
"181",40
"182",84
"183",331
"184",472
"185",391
"186",485
"187",19
"188",34
"189",133
"190",71
"191",43
"192",268
"193",440
"194",466
"195",287
"196",271
"197",99
"198",215
"199",458
"200",398
"201",179
"202",17
"203",67
"204",277
"205",227
"206",44
"207",220
"208",155
"209",262
"210",312
"211",454
"212",419
"213",142
"214",225
"215",366
"216",440
"217",365
"218",356
"219",61
"220",332
"221",424
"222",335
"223",58
"224",486
"225",291
"226",55
"227",472
"228",295
"229",397
"230",349
"231",113
"232",254
"233",142
"234",79
"235",343
"236",137
"237",122
"238",150
"239",381
"240",114
"241",164
"242",312
"243",195
"244",32
"245",423
"246",411
"247",452
"248",382
"249",460
"250",143
"251",206
"252",447
"253",59
"254",318
"255",249
"256",265
"257",265
"258",372
"259",204
"260",208
"261",410
"262",167
"263",368
"264",203
"265",317
"266",184
"267",49
"268",131
"269",319
"270",13
"271",291
"272",96
"273",496
"274",47
"275",441
"276",433
"277",6
"278",27
"279",490
"280",181
"281",409
"282",336
"283",283
"284",91
"285",42
"286",150
"287",233
"288",11
"289",75
"290",178
"291",178
"292",285
"293",15
"294",264
"295",357
"296",283
"297",353
"298",29
"299",423
"300",434
"301",68
"302",11
"303",401
"304",260
"305",187
"306",194
"307",460
"308",10
"309",249
"310",241
"311",382
"312",237
"313",459
"314",230
"315",156
"316",278
"317",91
"318",471
"319",341
"320",227
