"","time_quasi_extinct"
"1",72
"2",136
"3",561
"4",166
"5",105
"6",426
"7",632
"8",433
"9",868
"10",609
"11",152
"12",750
"13",861
"14",748
"15",548
"16",51
"17",805
"18",765
"19",39
"20",319
"21",179
"22",900
"23",644
"24",154
"25",987
"26",9
"27",421
"28",281
"29",840
"30",645
"31",46
"32",376
"33",851
"34",84
"35",635
"36",5
"37",826
"38",740
"39",507
"40",315
"41",848
"42",637
"43",416
"44",324
"45",503
"46",249
"47",784
"48",618
"49",782
"50",138
"51",972
"52",663
"53",443
"54",388
"55",248
"56",365
"57",299
"58",78
"59",306
"60",936
"61",815
"62",92
"63",440
"64",207
"65",790
"66",175
"67",549
"68",833
"69",280
"70",738
"71",832
"72",617
"73",484
"74",617
"75",306
"76",497
"77",143
"78",556
"79",399
"80",836
"81",166
"82",562
"83",709
"84",192
"85",683
"86",727
"87",788
"88",969
"89",993
"90",964
"91",912
"92",625
"93",840
"94",67
"95",278
"96",864
"97",718
"98",384
"99",312
"100",501
"101",803
"102",830
"103",544
"104",715
"105",814
"106",10
"107",405
"108",657
"109",280
"110",827
"111",913
"112",481
"113",243
"114",854
"115",657
"116",299
"117",912
"118",595
"119",593
"120",23
"121",20
"122",30
"123",790
"124",347
"125",980
"126",158
"127",789
"128",114
"129",476
"130",340
"131",667
"132",202
"133",46
"134",468
"135",639
"136",623
"137",584
"138",192
"139",188
"140",549
"141",770
"142",157
"143",652
"144",833
"145",504
"146",633
"147",846
"148",419
"149",738
"150",407
"151",888
"152",279
"153",158
"154",671
"155",188
"156",906
"157",436
"158",323
"159",435
"160",648
"161",133
"162",205
"163",840
"164",734
"165",877
"166",929
"167",73
"168",673
"169",118
"170",950
"171",923
"172",26
"173",681
"174",566
"175",166
"176",287
"177",64
"178",561
"179",942
"180",398
"181",201
"182",241
"183",475
"184",845
"185",215
"186",413
"187",348
"188",566
"189",479
"190",794
"191",606
"192",282
"193",536
"194",616
"195",358
"196",851
"197",177
"198",128
"199",896
"200",124
"201",519
"202",696
"203",459
"204",255
"205",438
"206",954
"207",494
"208",686
"209",438
"210",245
"211",611
"212",370
"213",916
"214",127
"215",168
"216",392
"217",620
"218",764
"219",82
"220",405
"221",988
"222",353
"223",705
"224",207
"225",626
"226",197
"227",163
"228",463
"229",421
"230",857
"231",780
"232",57
"233",871
"234",481
"235",145
"236",25
"237",567
"238",109
"239",178
"240",886
"241",52
"242",643
"243",140
"244",480
"245",217
"246",17
"247",517
"248",117
"249",514
"250",493
"251",35
"252",378
"253",731
"254",372
"255",493
"256",913
"257",257
"258",884
"259",803
"260",909
"261",860
"262",331
"263",617
"264",270
"265",371
"266",842
"267",133
"268",634
"269",319
"270",576
"271",533
"272",85
"273",764
"274",705
"275",116
"276",188
"277",844
"278",913
"279",873
"280",949
"281",646
"282",587
"283",830
"284",459
"285",950
"286",579
"287",540
"288",168
"289",509
"290",944
"291",109
"292",457
"293",683
"294",624
"295",316
"296",285
"297",235
"298",558
"299",476
"300",161
"301",7
"302",175
"303",52
"304",792
"305",983
"306",683
"307",589
"308",713
"309",386
"310",585
"311",516
"312",137
"313",486
"314",745
"315",779
"316",764
"317",408
"318",872
"319",77
"320",744
"321",129
"322",523
"323",278
"324",254
"325",755
"326",807
"327",26
"328",377
"329",119
"330",28
"331",22
"332",434
"333",865
"334",380
"335",531
"336",957
"337",415
"338",121
"339",402
"340",140
"341",952
"342",157
"343",598
"344",419
"345",657
"346",441
"347",980
"348",397
"349",666
"350",867
"351",25
"352",990
"353",989
"354",700
"355",772
"356",709
"357",54
"358",395
"359",1001
"360",290
"361",899
"362",926
"363",855
"364",11
"365",577
"366",8
"367",384
"368",684
"369",70
"370",472
"371",643
"372",38
"373",317
"374",188
"375",338
"376",771
"377",819
"378",278
"379",654
"380",346
"381",187
"382",368
"383",486
"384",944
"385",764
"386",122
"387",755
"388",135
"389",463
"390",774
"391",358
"392",862
"393",524
"394",299
"395",149
"396",864
"397",892
"398",269
"399",801
"400",450
"401",754
"402",712
"403",789
"404",199
"405",987
"406",754
"407",21
"408",769
"409",241
"410",234
"411",648
"412",909
"413",49
"414",372
"415",343
"416",708
"417",127
"418",446
"419",3
"420",68
"421",657
"422",179
"423",617
"424",626
"425",792
"426",421
"427",971
"428",762
"429",697
"430",79
"431",986
"432",975
"433",862
"434",805
"435",140
"436",219
"437",310
"438",498
"439",530
"440",415
"441",72
"442",414
"443",705
"444",515
"445",465
"446",498
"447",750
"448",318
"449",508
"450",480
"451",113
"452",42
"453",958
"454",184
"455",581
"456",408
"457",435
"458",330
"459",383
"460",113
"461",124
"462",593
"463",20
"464",529
"465",912
"466",399
"467",945
"468",186
"469",5
"470",63
"471",990
"472",855
"473",764
"474",590
"475",656
"476",828
"477",451
"478",419
"479",546
"480",969
"481",95
"482",48
"483",337
"484",229
"485",235
"486",240
"487",650
"488",315
"489",686
"490",963
"491",541
"492",158
"493",583
"494",199
"495",163
"496",489
"497",737
"498",675
"499",167
"500",659
"501",796
"502",862
"503",27
"504",372
"505",598
"506",245
"507",437
"508",397
"509",342
"510",999
"511",150
"512",435
"513",774
"514",515
"515",623
"516",926
"517",296
"518",811
"519",499
"520",734
"521",108
"522",482
"523",203
"524",343
"525",917
"526",534
"527",618
"528",897
"529",773
"530",538
"531",601
"532",212
"533",788
"534",183
"535",737
"536",893
"537",730
"538",830
"539",798
"540",643
"541",589
"542",368
"543",960
"544",96
"545",758
"546",61
"547",816
"548",614
"549",959
"550",127
"551",714
"552",957
"553",698
"554",621
"555",171
"556",366
"557",978
"558",71
"559",392
"560",908
"561",835
"562",234
"563",632
"564",480
"565",697
"566",878
"567",897
"568",89
"569",352
"570",331
"571",995
