"","time_quasi_extinct"
"1",293
"2",1818
"3",1533
"4",861
"5",1726
"6",784
"7",614
"8",185
"9",201
"10",1907
"11",1396
"12",1192
"13",39
"14",1027
"15",96
"16",416
"17",17
"18",380
"19",953
"20",892
"21",1489
"22",1618
"23",533
"24",1520
"25",1924
"26",1674
"27",1306
"28",884
"29",1030
"30",910
"31",1959
"32",25
"33",110
"34",245
"35",1545
"36",1357
"37",1519
"38",1428
"39",570
"40",1008
"41",66
"42",975
"43",1629
"44",1715
"45",1888
"46",1036
"47",964
"48",273
"49",1276
"50",1296
"51",239
"52",193
"53",894
"54",1868
"55",252
"56",886
"57",1946
"58",748
"59",503
"60",948
"61",882
"62",431
"63",1857
"64",906
"65",607
"66",1817
"67",1488
"68",1240
"69",1536
"70",1329
"71",500
"72",1659
"73",1195
"74",1137
"75",1677
"76",877
"77",9
"78",22
"79",308
"80",1756
"81",153
"82",434
"83",132
"84",909
"85",1590
"86",188
"87",887
"88",412
"89",588
"90",1917
"91",1977
"92",591
"93",1439
"94",467
"95",1262
"96",1096
"97",1410
"98",375
"99",1843
"100",999
"101",507
"102",35
"103",437
"104",1617
"105",11
"106",66
"107",1580
"108",165
"109",1643
"110",1509
"111",837
"112",905
"113",863
"114",949
"115",611
"116",390
"117",322
"118",1070
"119",477
"120",1952
"121",1774
"122",641
"123",69
"124",557
"125",1025
"126",795
"127",1652
"128",1886
"129",444
"130",1431
"131",1135
"132",1340
"133",1336
"134",1500
"135",362
"136",455
"137",442
"138",1296
"139",806
"140",431
"141",678
"142",952
"143",229
"144",340
"145",378
"146",8
"147",729
"148",173
"149",1242
"150",66
"151",366
"152",33
"153",787
"154",1100
"155",1528
"156",1436
"157",905
"158",895
"159",1956
"160",1976
"161",1335
"162",380
"163",92
"164",260
"165",1936
"166",900
"167",1795
"168",1176
"169",1986
"170",1547
"171",427
"172",1582
"173",850
"174",655
"175",1993
"176",1015
"177",96
"178",789
"179",1931
"180",1404
"181",67
"182",140
"183",150
"184",828
"185",351
"186",1611
"187",1843
"188",1868
"189",1738
"190",1357
"191",1816
"192",1900
"193",1294
"194",1393
"195",434
"196",1433
"197",177
"198",524
"199",1472
"200",276
"201",943
"202",486
"203",1139
"204",1723
"205",146
"206",850
"207",696
"208",1796
"209",1999
"210",1414
"211",1385
"212",161
"213",608
"214",503
"215",1591
"216",284
"217",393
"218",67
"219",269
"220",1223
"221",1979
"222",1360
"223",1702
"224",1860
"225",1938
"226",786
"227",606
"228",1633
"229",607
"230",1478
"231",1202
"232",792
"233",1463
"234",690
"235",358
"236",1196
"237",8
"238",422
"239",947
"240",1723
"241",523
"242",1740
"243",1058
"244",126
"245",550
"246",1094
"247",1896
"248",282
"249",1558
"250",316
"251",1263
"252",1203
"253",196
"254",418
"255",1681
"256",1759
"257",1636
"258",1624
"259",352
"260",1901
"261",1342
"262",514
"263",890
"264",1481
"265",97
"266",1380
"267",1959
"268",1742
"269",77
"270",1486
"271",1809
"272",1513
"273",861
"274",1780
"275",1314
"276",682
"277",1169
"278",15
"279",1948
"280",856
"281",889
"282",846
"283",1205
"284",1905
"285",488
"286",15
"287",1070
"288",812
"289",1968
"290",1116
"291",1579
"292",963
"293",1610
"294",1297
"295",1524
"296",918
"297",1064
"298",597
"299",1181
"300",407
"301",735
"302",1872
"303",47
"304",1773
"305",227
"306",1334
"307",1960
"308",11
"309",490
"310",1255
"311",213
"312",448
"313",1327
"314",539
"315",13
"316",260
"317",1737
"318",1864
"319",865
"320",1299
"321",738
"322",669
"323",517
"324",481
"325",1622
"326",528
"327",1085
"328",1620
"329",229
"330",1715
"331",1416
"332",1908
"333",1818
"334",1257
"335",173
"336",1112
"337",595
"338",769
"339",294
"340",1209
"341",978
"342",530
"343",1324
"344",212
"345",1605
"346",1037
"347",1624
"348",1301
"349",1874
"350",679
"351",1121
"352",1165
"353",1643
"354",1985
"355",100
"356",14
"357",1445
"358",712
"359",1820
"360",127
"361",1752
"362",1742
"363",944
"364",971
"365",922
"366",155
"367",1250
"368",922
"369",382
"370",1277
"371",1335
"372",1797
"373",1465
"374",1329
"375",243
"376",539
"377",326
"378",810
"379",1305
"380",547
"381",1454
"382",671
"383",506
"384",700
"385",1809
"386",349
"387",654
"388",875
"389",1913
"390",1180
"391",223
"392",893
"393",1188
"394",446
"395",1933
"396",852
"397",524
"398",1886
"399",533
"400",916
"401",139
"402",1433
"403",1518
"404",20
"405",491
"406",1832
"407",606
"408",1628
"409",973
"410",501
"411",1432
"412",49
"413",1471
"414",1088
"415",841
"416",563
"417",1558
"418",391
"419",136
"420",629
"421",1971
"422",241
"423",1432
"424",1648
"425",153
"426",33
"427",550
"428",517
"429",1991
"430",1921
"431",1820
"432",1596
"433",690
"434",1621
"435",1994
"436",1663
"437",1269
"438",1169
"439",1735
"440",1976
"441",369
"442",1762
"443",209
"444",1005
"445",497
"446",1910
"447",389
"448",597
"449",1202
"450",1164
"451",1182
"452",1801
"453",500
"454",1147
"455",1126
"456",851
"457",641
"458",55
"459",1122
"460",985
"461",663
"462",381
"463",1917
"464",1248
"465",81
"466",318
"467",786
"468",44
"469",726
"470",593
"471",461
"472",352
"473",1906
"474",794
"475",1915
"476",77
"477",439
"478",91
"479",359
"480",218
"481",312
"482",1853
"483",351
"484",1604
"485",1191
"486",291
"487",1709
"488",27
"489",527
"490",1012
"491",1276
"492",873
"493",1621
"494",1440
"495",1388
"496",1719
"497",6
"498",1785
"499",955
"500",1343
"501",1147
"502",1668
"503",1314
"504",822
"505",1071
"506",469
"507",468
"508",1038
"509",329
"510",1713
"511",350
"512",576
"513",279
"514",1344
"515",1034
"516",1641
"517",56
"518",274
"519",1861
"520",1082
"521",453
"522",736
"523",403
"524",1354
"525",1780
"526",447
"527",1567
"528",1375
"529",1299
"530",155
"531",116
"532",30
"533",1009
"534",339
"535",840
"536",1326
"537",1128
"538",199
"539",29
"540",1273
"541",503
"542",1601
"543",189
"544",898
"545",245
"546",751
"547",1887
"548",75
"549",1877
"550",1262
"551",832
"552",1354
"553",1297
"554",1269
"555",1636
"556",1844
"557",457
"558",450
"559",1757
"560",1591
"561",1737
"562",1611
"563",717
"564",1311
"565",1466
"566",1129
"567",1471
"568",4
"569",54
"570",1569
"571",937
"572",1786
"573",931
"574",839
"575",519
"576",345
"577",1027
"578",1294
"579",1478
"580",775
"581",777
"582",1835
"583",970
"584",793
"585",158
"586",1430
"587",400
"588",269
"589",1143
"590",474
"591",2001
"592",1882
"593",1686
"594",21
"595",1187
"596",1331
"597",233
"598",235
"599",840
"600",396
"601",286
"602",1460
"603",417
"604",872
"605",1282
"606",1570
"607",296
"608",234
"609",789
"610",644
"611",764
"612",1424
"613",562
"614",1683
"615",721
"616",1309
"617",1229
"618",1638
"619",1598
"620",945
"621",1738
"622",630
"623",257
"624",552
"625",628
"626",1981
"627",975
"628",1084
"629",1950
"630",1517
"631",1102
"632",484
"633",244
"634",1358
"635",1776
"636",1102
"637",1119
"638",1414
"639",158
"640",574
"641",345
"642",1444
"643",519
"644",1222
"645",1151
"646",448
"647",1770
"648",520
"649",893
"650",1243
"651",1665
"652",6
"653",511
"654",48
"655",309
"656",442
"657",117
"658",1289
