"","time_quasi_extinct"
"1",188
"2",336
"3",251
"4",331
"5",262
"6",417
"7",363
"8",384
"9",165
"10",450
"11",157
"12",213
"13",148
"14",216
"15",425
"16",49
"17",81
"18",478
"19",15
"20",440
"21",50
"22",238
"23",219
"24",24
"25",289
"26",254
"27",4
"28",130
"29",26
"30",430
"31",167
"32",37
"33",140
"34",40
"35",82
"36",153
"37",5
"38",116
"39",390
"40",113
"41",65
"42",355
"43",377
"44",120
"45",425
"46",79
"47",355
"48",423
"49",181
"50",50
"51",483
"52",395
"53",318
"54",297
"55",373
"56",71
"57",385
"58",356
"59",249
"60",425
"61",57
"62",304
"63",95
"64",154
"65",501
"66",458
"67",408
"68",187
"69",405
"70",227
"71",131
"72",309
"73",249
"74",413
"75",281
"76",500
"77",33
"78",304
"79",137
"80",222
"81",38
"82",167
"83",412
"84",173
"85",416
"86",445
"87",9
"88",227
"89",476
"90",196
"91",127
"92",85
"93",26
"94",418
"95",84
"96",119
"97",158
"98",437
"99",368
"100",63
"101",187
"102",353
"103",417
"104",409
"105",236
"106",376
"107",351
"108",316
"109",300
"110",364
"111",10
"112",377
"113",472
"114",8
"115",230
"116",479
"117",424
"118",262
"119",344
"120",207
"121",330
"122",488
"123",47
"124",413
"125",152
"126",90
"127",355
"128",471
"129",245
"130",249
"131",59
"132",363
"133",377
"134",121
"135",408
"136",433
"137",117
"138",117
"139",482
"140",233
"141",245
"142",359
"143",203
"144",314
"145",155
"146",449
"147",9
"148",311
"149",31
"150",186
"151",256
"152",200
"153",456
"154",439
"155",21
"156",413
"157",70
"158",393
"159",16
"160",107
"161",80
"162",174
"163",439
"164",320
"165",68
"166",376
"167",499
"168",241
