"","time_quasi_extinct"
"1",190
"2",57
"3",24
"4",334
"5",132
"6",230
"7",491
"8",216
"9",335
"10",431
"11",491
"12",331
"13",285
"14",144
"15",94
"16",105
"17",70
"18",397
"19",8
"20",160
"21",366
"22",408
"23",26
"24",37
"25",311
"26",25
"27",394
"28",389
"29",317
"30",104
"31",163
"32",13
"33",225
"34",415
"35",16
"36",85
"37",81
"38",393
"39",123
"40",6
"41",449
"42",306
"43",203
"44",249
"45",134
"46",216
"47",261
"48",62
"49",279
"50",178
"51",22
"52",190
"53",273
"54",196
"55",119
"56",273
"57",132
"58",361
"59",52
"60",16
"61",355
"62",343
"63",376
"64",92
"65",199
"66",165
"67",426
"68",391
"69",54
"70",283
"71",215
"72",405
"73",8
"74",53
"75",243
"76",391
"77",97
"78",496
"79",345
"80",296
"81",42
"82",463
"83",273
"84",168
"85",413
"86",373
"87",127
"88",332
"89",158
"90",125
"91",446
"92",130
"93",132
"94",149
"95",197
"96",76
"97",55
"98",345
"99",350
"100",157
"101",151
"102",241
"103",323
"104",179
"105",450
"106",95
"107",180
"108",306
"109",362
"110",492
"111",281
"112",277
"113",501
"114",419
"115",187
"116",396
"117",154
"118",435
"119",38
"120",284
"121",110
"122",273
"123",106
"124",81
"125",22
"126",164
"127",62
"128",373
"129",447
"130",65
"131",306
"132",394
"133",94
"134",153
"135",87
"136",52
"137",210
"138",55
"139",24
"140",16
"141",69
"142",438
"143",31
"144",139
"145",442
"146",174
"147",329
"148",370
"149",338
"150",215
"151",98
"152",388
"153",113
"154",441
"155",480
"156",212
"157",95
"158",139
"159",215
"160",25
"161",428
"162",91
"163",160
"164",477
"165",398
"166",383
"167",26
"168",266
"169",417
"170",497
"171",331
"172",85
"173",165
"174",32
"175",188
"176",95
"177",54
"178",451
"179",358
"180",413
"181",409
"182",51
"183",447
"184",67
"185",175
"186",150
"187",14
"188",308
"189",71
"190",498
"191",235
"192",400
"193",180
"194",436
"195",203
"196",315
"197",48
"198",220
"199",38
"200",321
"201",384
"202",6
"203",37
"204",440
"205",388
"206",163
"207",35
"208",104
"209",366
"210",475
"211",328
"212",45
"213",98
"214",300
"215",466
"216",8
"217",231
"218",340
"219",321
"220",153
"221",324
"222",261
"223",460
"224",252
"225",18
"226",495
"227",438
"228",221
"229",246
"230",408
"231",342
"232",98
"233",497
"234",180
"235",139
"236",334
"237",114
"238",48
"239",239
"240",232
"241",11
"242",317
"243",455
"244",20
"245",8
"246",425
"247",57
"248",263
"249",53
"250",355
"251",182
"252",182
"253",136
"254",34
"255",135
"256",46
"257",159
"258",313
"259",393
"260",321
"261",123
"262",446
"263",201
"264",65
"265",464
"266",276
"267",307
"268",5
"269",295
"270",260
"271",16
"272",89
"273",429
"274",291
"275",346
"276",164
"277",362
"278",51
"279",346
"280",355
"281",397
"282",82
"283",32
"284",52
"285",467
"286",457
"287",22
"288",347
"289",302
"290",351
"291",452
"292",207
"293",194
"294",423
"295",191
"296",278
"297",470
"298",186
"299",8
"300",367
"301",351
"302",125
"303",372
"304",24
"305",210
"306",301
"307",291
"308",454
"309",464
"310",289
"311",396
"312",387
"313",296
"314",245
"315",436
"316",151
"317",97
"318",262
"319",53
"320",298
"321",494
"322",158
"323",470
"324",316
"325",251
"326",347
"327",162
"328",181
"329",65
"330",395
"331",441
"332",484
"333",207
"334",378
"335",8
"336",363
"337",297
"338",409
"339",38
"340",195
"341",33
"342",101
"343",478
"344",139
"345",61
"346",405
"347",172
"348",248
"349",371
"350",377
"351",135
"352",86
"353",17
"354",476
"355",394
"356",39
"357",14
"358",477
"359",290
"360",269
"361",379
"362",308
"363",376
"364",124
"365",349
"366",372
"367",95
"368",190
"369",48
"370",6
"371",243
"372",463
"373",185
"374",39
"375",338
"376",452
"377",208
"378",11
"379",221
"380",149
"381",173
"382",135
"383",127
"384",356
"385",23
"386",9
"387",432
"388",474
"389",398
"390",304
"391",306
"392",59
"393",20
"394",453
"395",361
"396",121
"397",497
"398",177
"399",125
"400",108
"401",268
"402",336
"403",164
"404",235
"405",416
"406",90
"407",390
"408",162
"409",402
"410",349
"411",250
"412",438
"413",63
"414",85
"415",378
"416",452
"417",12
"418",292
"419",254
"420",62
"421",447
"422",88
"423",190
"424",200
"425",218
"426",16
"427",123
"428",497
"429",32
"430",68
"431",281
"432",12
"433",487
"434",465
"435",300
"436",465
"437",187
"438",51
"439",24
"440",272
"441",241
"442",344
"443",73
"444",208
"445",310
"446",151
"447",345
"448",486
"449",410
"450",379
"451",356
"452",147
"453",112
"454",477
"455",424
"456",285
"457",165
"458",205
"459",221
"460",122
"461",355
"462",404
"463",68
"464",78
"465",130
"466",269
"467",109
"468",91
"469",34
"470",213
"471",67
"472",325
"473",316
"474",412
"475",389
"476",227
"477",264
"478",44
"479",422
"480",54
"481",283
"482",16
"483",15
"484",397
"485",143
"486",310
"487",113
"488",408
"489",139
"490",266
"491",474
"492",308
"493",465
"494",253
"495",7
"496",219
"497",362
"498",456
"499",49
"500",29
"501",33
"502",413
"503",388
"504",83
"505",232
"506",321
"507",430
"508",67
"509",158
"510",280
"511",376
"512",233
"513",183
"514",165
"515",141
"516",298
"517",406
"518",269
"519",459
"520",111
"521",422
"522",138
"523",423
"524",471
"525",457
"526",182
"527",480
"528",347
"529",110
"530",87
"531",302
"532",461
"533",374
"534",405
