"","time_quasi_extinct"
"1",227
"2",289
"3",42
"4",86
"5",211
"6",214
"7",418
"8",270
"9",339
"10",62
"11",477
"12",14
"13",332
"14",467
"15",240
"16",388
"17",339
"18",76
"19",290
"20",83
"21",154
"22",141
"23",127
"24",340
"25",259
"26",33
"27",73
"28",226
"29",470
"30",104
"31",208
"32",388
"33",31
"34",342
"35",205
"36",290
"37",119
"38",123
"39",133
"40",310
"41",276
"42",114
"43",334
"44",410
"45",410
"46",26
"47",275
"48",50
"49",99
"50",204
"51",176
"52",236
"53",375
"54",358
"55",396
"56",417
"57",195
"58",130
"59",241
"60",243
"61",311
"62",104
"63",383
"64",173
"65",423
"66",4
"67",163
"68",43
"69",126
"70",246
"71",278
"72",33
"73",214
"74",271
"75",22
"76",181
"77",144
"78",100
"79",199
"80",41
"81",353
"82",37
"83",262
"84",12
"85",272
"86",180
"87",400
"88",206
"89",62
"90",235
"91",76
"92",21
"93",94
"94",97
"95",385
"96",327
"97",245
"98",354
"99",275
"100",170
"101",170
"102",380
"103",462
"104",416
"105",285
"106",129
"107",165
"108",312
"109",349
"110",99
"111",135
"112",312
"113",39
"114",189
"115",433
"116",238
"117",235
"118",418
"119",96
"120",249
"121",220
"122",351
"123",247
"124",472
"125",48
"126",158
"127",241
"128",10
"129",386
"130",30
"131",463
"132",244
"133",390
"134",170
"135",251
"136",121
"137",160
"138",394
"139",471
"140",178
"141",331
"142",89
"143",94
"144",222
"145",209
"146",85
"147",25
"148",295
"149",128
"150",102
"151",405
"152",112
"153",340
"154",407
"155",227
"156",87
"157",53
"158",84
"159",145
"160",378
"161",320
"162",145
"163",29
"164",26
"165",81
"166",382
"167",425
"168",347
"169",19
"170",297
"171",230
"172",405
"173",442
"174",153
"175",198
"176",133
"177",241
"178",261
"179",150
"180",442
"181",351
"182",119
"183",281
"184",303
"185",236
"186",22
"187",108
"188",27
"189",359
"190",250
"191",457
"192",64
"193",165
"194",16
"195",303
"196",16
"197",234
"198",380
"199",58
"200",101
"201",439
"202",130
"203",63
"204",127
"205",468
"206",86
"207",38
"208",110
"209",10
"210",216
"211",51
"212",457
"213",292
"214",229
"215",416
"216",170
"217",139
"218",355
"219",106
"220",6
"221",90
"222",82
"223",321
"224",54
"225",226
"226",264
"227",407
"228",114
"229",75
"230",48
"231",77
"232",457
"233",195
"234",219
"235",406
"236",232
"237",18
"238",343
"239",24
"240",188
"241",35
"242",295
"243",422
"244",438
"245",501
"246",265
"247",450
"248",217
"249",495
"250",308
